movie_id,person_id,name,department,job,gender
150689,1368871,Charley Henley,Visual Effects,Visual Effects Supervisor,0
150689,1548931,Patrick Ledda,Visual Effects,Visual Effects Supervisor,0
150689,3288,Chris Weitz,Writing,Screenplay,0
152532,69371,Jean-Marc Vallée,Directing,Director,2
152532,5328,Kerry Barden,Production,Casting,2
152532,19689,Paul Schnee,Production,Casting,0
152532,928272,Rich Delia,Production,Casting,2
152532,16831,Holly Wiersma,Production,Executive Producer,1
152532,56759,David L. Bushell,Production,Executive Producer,2
152532,64058,Cassian Elwes,Production,Executive Producer,2
152532,1031200,Nicolas Chartier,Production,Executive Producer,0
152532,1128684,Zev Foreman,Production,Executive Producer,2
152532,1279972,Ross Nathan,Production,Executive Producer,0
152532,1281376,Logan Levy,Production,Executive Producer,0
152532,1287616,Joe Newcomb,Production,Executive Producer,0
152532,1287617,Tony Notargiacomo,Production,Executive Producer,0
152532,59700,Robbie Brenner,Production,Producer,0
152532,1287613,Rachel Winter,Production,Producer,0
152532,74342,Melisa Wallack,Writing,Screenplay,0
152532,1133294,Craig Borten,Writing,Screenplay,0
152599,20561,James Gray,Directing,Director,2
152599,19658,Greg Shapiro,Production,Producer,2
152599,20561,James Gray,Production,Producer,2
152599,60187,Anthony Katagas,Production,Producer,2
152599,1128690,Christopher Woodrow,Production,Producer,2
152599,1336716,Dottie Starling,Visual Effects,Visual Effects Supervisor,0
152599,20561,James Gray,Writing,Writer,2
152599,1133010,Ric Menello,Writing,Writer,0
152601,5953,Spike Jonze,Directing,Director,2
152601,1450000,Tracy Scott,Directing,Script Supervisor,0
152601,4769,Daniel Lupi,Production,Executive Producer,2
152601,180749,Natalie Farrey,Production,Executive Producer,1
152601,939529,Chelsea Barnard,Production,Executive Producer,0
152601,5953,Spike Jonze,Production,Producer,2
152601,6955,Vincent Landay,Production,Producer,2
152601,1027025,Megan Ellison,Production,Producer,1
152601,5953,Spike Jonze,Writing,Writer,2
152737,47333,John Wells,Directing,Director,2
152737,59839,Harvey Weinstein,Production,Producer,2
152737,1461,George Clooney,Production,Producer,2
152737,27562,Jean Doumanian,Production,Producer,1
152737,31511,Grant Heslov,Production,Producer,2
152737,941867,Steve Traxler,Production,Producer,2
152737,72638,Tracy Letts,Writing,Author,2
152737,72638,Tracy Letts,Writing,Screenplay,2
152742,65314,Giuseppe Tornatore,Directing,Director,0
152742,232666,Arturo Paglia,Production,Producer,0
152742,1133329,Isabella Cocuzza,Production,Producer,0
152742,65314,Giuseppe Tornatore,Writing,Screenplay,0
152747,556172,J.C. Chandor,Directing,Director,0
152747,1399096,Erin Feeley,Directing,Script Supervisor,1
152747,64058,Cassian Elwes,Production,Executive Producer,2
152747,70088,Howard Cohen,Production,Executive Producer,2
152747,74534,Kevin Turen,Production,Executive Producer,0
152747,17306,Zachary Quinto,Production,Executive Producer,2
152747,937173,Corey Moosa,Production,Executive Producer,0
152747,956672,Eric d'Arbeloff,Production,Executive Producer,2
152747,1018975,Glen Basner,Production,Executive Producer,2
152747,1020051,Laura Rister,Production,Executive Producer,1
152747,1020052,Joshua Blum,Production,Executive Producer,0
152747,131609,Anna Gerber,Production,Producer,0
152747,213863,Neal Dodson,Production,Producer,0
152747,1062336,Justin Nappi,Production,Producer,2
152747,1080589,Teddy Schwarzman,Production,Producer,0
152747,1393389,George Macri,Visual Effects,Visual Effects Producer,0
152747,1221442,Colin Davies,Visual Effects,Visual Effects Supervisor,0
152747,1233109,Bob Munroe,Visual Effects,Visual Effects Supervisor,0
152747,556172,J.C. Chandor,Writing,Screenplay,0
152760,1461,George Clooney,Directing,Director,2
152760,474,Jina Jay,Production,Casting,1
152760,4222,Simone Bär,Production,Casting,1
152760,1330047,Rachel Desmarest,Production,Casting,0
152760,1461,George Clooney,Production,Producer,2
152760,31511,Grant Heslov,Production,Producer,2
152760,1315933,Robert M. Edsel,Writing,Novel,0
